id_str,created_at,full_text(utf-8)
1311778439200870400,2020-10-01 21:22:06,"RT @KDORR_USA: Americans across the country have zero confidence in Biden’s ability to handle the economy.

That’s why families like Janell…"
1311777753046237185,2020-10-01 21:19:22,"RT @jsolomonReports: Breaking: Senate report slams Bidens for conflicts of interest, flags possible criminal activity. GOP-led investigatio…"
1311777695961812992,2020-10-01 21:19:09,"RT @GreggJarrett: Michael Moore Chastises Biden For Only Visiting ‘White Michigan,’ Avoiding ‘Black Michigan’ https://t.co/0Id8qGewQZ"
1311777333502566400,2020-10-01 21:17:42,"RT @GreggJarrett: Extortion, Bribery and Sex Trafficking: The Truth about Hunter Biden https://t.co/ViCl57XKYB"
1311777211024764928,2020-10-01 21:17:13,RT @GreggJarrett: BLOOMBERG’S BIG POCKETS: Florida AG requests FBI probe into ex-con donations https://t.co/Q4FGWTf2VH
1311776954840870912,2020-10-01 21:16:12,"RT @GreggJarrett: Hunter Biden Report Bombshell: Biden Was Briefed About Son, Caused Problems In Obama White House https://t.co/rh2yGEa3my"
1311776809046794241,2020-10-01 21:15:37,RT @GreggJarrett: Stunning revelations expose FBI’s Trump probe as dirtiest political trick in US history https://t.co/KFI0D4NHuv
1311776757888950272,2020-10-01 21:15:25,"RT @GreggJarrett: Hunter Biden Report Bombshell: Biden Was Briefed About Son, Caused Problems In Obama White House https://t.co/nwAOeej3hs"
1311776703358803969,2020-10-01 21:15:12,RT @GreggJarrett: NYT ‘Refused To Listen’ Says Trump Atty Over ‘Fake News’ Trump Tax Returns https://t.co/Egbdy9Hgo4
1311776646492372992,2020-10-01 21:14:58,RT @GreggJarrett: The Brief Podcast: New Documents Show The Russia Hoax Far Worse Than We Thought https://t.co/MVgzRZd8fm
1311776601521094656,2020-10-01 21:14:48,RT @GreggJarrett: BOMBSHELL: Clinton Allegedly Approved Russiagate Falsehood As Distraction From Email Scandal https://t.co/1TqLo8rpMO
1311776453717942272,2020-10-01 21:14:12,RT @GreggJarrett: Corrupt Comey conveniently claims no memory of parts of FBI’s Trump-Russia ‘collusion’ probe https://t.co/HC4sAjaGZ4
1311775992847818754,2020-10-01 21:12:22,Exclusive Excerpt--Lewandowski &amp; Bossie: ‘Trump: America First: The President Succeeds Against All Odds’ https://t.co/8NVtLK2VU9 via @BreitbartNews. Great book. Order now!
1311745016780460033,2020-10-01 19:09:17,THANK YOU! #MAGA https://t.co/nGfbRmfmG7
1311731462589292544,2020-10-01 18:15:26,Why would I allow the Debate Commission to change the rules for the second and third Debates when I easily won last time?
1311685923097260034,2020-10-01 15:14:28,"I won the debate big, based on compilation of polls etc. Thank you!"
1311512518800470016,2020-10-01 03:45:25,"Thank you @HerschelWalker! 
https://t.co/XjlYe8x1Ay"
1311507509958471680,2020-10-01 03:25:31,"RT @GOPChairwoman: Big news!

A Maine court sided with the RNC and upheld the: 

*Ban on ballot harvesting
*Voter ID requirements
*Election…"
1311501225423073281,2020-10-01 03:00:33,Thank you Paul! https://t.co/aAk1sfww0d
1311500843309387781,2020-10-01 02:59:02,"100,000 DEFECTIVE BALLOTS IN NEW YORK. THEY WANT TO REPLACE THEM, BUT WHERE, AND WHAT HAPPENS TO, THE BALLOTS THAT WERE FIRST SENT? THEY WILL BE USED BY SOMEBODY. USA, END THIS SCAM - GO OUT AND VOTE!"
1311498845860196355,2020-10-01 02:51:05,"In just 3 and a half years, we have secured America’s Borders, rebuilt the awesome power of the U.S. Military, obliterated the ISIS caliphate, fixed our disastrous Trade Deals, and brought JOBS back home to America – and back to MINNESOTA! #MAGA https://t.co/nX2oU5IWL0"
1311497943363379200,2020-10-01 02:47:30,"As VP, Biden wiped out the Iron Range – seven plants were idled and more than 2K workers were laid off. After I put Tariffs on foreign steel, the Iron Range came roaring back to life! If Joe gets in, the Radical Left will shut down the Iron Range FOREVER! https://t.co/2Gk2uOjaCW"
