id_str,created_at,full_text(utf-8)
1309551751146565633,2020-09-25 17:54:02,b'@MayankSahal4 @prabhjodhs @Cmehrotra82 @diljitdosanjh Abe kahin aur jaake gaand mara \nKhud provoke karne ka try kara \nAur jab saamne vaala bolde to maa behen ki gaali do tum \nJab tujhe is sector ka kuch pata nahi to gaand mat marwa teri yaha \nBichauliyon pe sun teri hi party ki leader kya bolke gayi hai \ntadipar se teri maa chuda https://t.co/jhCJJD3cCZ'
1309551751041695745,2020-09-25 17:54:02,b'\xe8\x80\x83\xe3\x81\x88\xe6\x96\xb9\xe3\x81\xa8\xe3\x81\x8b\xe3\x81\x8c\xe4\xba\xba\xe3\x81\xa8\xe9\x81\x95\xe3\x81\x86\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xa3\xe3\x81\xa6\xe3\x80\x81\xe4\xbd\x95\xe3\x81\x8b\xe7\xa7\x81\xe3\x81\xaf\xe7\x97\x85\xe6\xb0\x97\xe3\x81\x8b\xe3\x82\x82\xef\xbc\x9f\xe3\x81\xa8\xe6\x80\x9d\xe3\x82\x8f\xe3\x81\x9b\xe3\x81\xa6\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x86\xe7\xa4\xbe\xe4\xbc\x9a\xe3\x81\xae\xe6\x96\xb9\xe3\x81\x8c\xe3\x82\x88\xe3\x81\xa3\xe3\x81\xbd\xe3\x81\xa9\xe7\x97\x85\xe6\xb0\x97\xe3\x81\xa0\xe3\x82\x88\xe3\x81\xaa\xe3\x80\x82'
1309551750974566401,2020-09-25 17:54:02,"b""Hi guys this is Arya dhayal and she is singing a carnatic version of blank space... I thought maybe more people needs to hear this.. \nDo reply if you like it\xf0\x9f\x98\x87\n\nI Don't own the content credit\nNo copyright infringement intended. \n@taylorswift13 @taylornation13 https://t.co/upFgYDlVLG"""
1309551750186180609,2020-09-25 17:54:02,b'@estelalovesreb \xf0\x9f\x85\xb0\xef\xb8\x8f hi'
1309551749636567041,2020-09-25 17:54:02,b'Hi can u dm u?'
1309551749435256833,2020-09-25 17:54:02,b'Oh bhai sabne helmet hi utar diya CSK ka \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'
1309551749418582021,2020-09-25 17:54:02,b'@Nanogenix Hi'
1309551749397708802,2020-09-25 17:54:02,b'RT @vickyxiiv: Hi lovers please check out my YouTube channel and subscribe \xf0\x9f\xa5\xba\nHere\xe2\x80\x99s the latest video \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\nhttps://t.co/PBBM1I0vW0'
1309551749129146368,2020-09-25 17:54:01,"b'Hi, Hello. Yes, please do read Symbiosis'"
1309551748302778375,2020-09-25 17:54:01,b'@anuraagmuskaan How is that possible ab o kuch kar l hi tho jail me hi na'
