date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-04 00:24:00,JoeBiden,,2964,7645,43332,"The President has a duty to set an example. https://twitter.com/ToluseO/status/1301667429437902849",,,,1301677355526770689,https://twitter.com/JoeBiden/status/1301677355526770689
2020-09-03 23:40:00,JoeBiden,,2375,3148,12229,"Folks, today marks two months until Election Day. That means we have just two months to do everything we can to beat Donald Trump and restore the soul of this nation. Chip in to help us win in November:",,,,1301666282589347841,https://twitter.com/JoeBiden/status/1301666282589347841
2020-09-03 23:07:00,JoeBiden,,3050,6439,20665,"This is our moment to root out systemic racism and ensure justice finally rings out for all in America.",,,,1301657977821241344,https://twitter.com/JoeBiden/status/1301657977821241344
2020-09-03 21:48:00,JoeBiden,,4480,8884,46981,"We need a president who will work to lower the temperature — not raise it. A president who will bring people together and find solutions to the challenges we face. That's what I went to Kenosha to do today, and it's what I'll do every day in the White House.",,,,1301638096992206850,https://twitter.com/JoeBiden/status/1301638096992206850
2020-09-03 18:53:21,JoeBiden,,2563,4428,15610,"It’s time we come together as a nation to heal and address the challenges we face. Tune in to our community conversation in Kenosha, Wisconsin:",,,,1301594146390466562,https://twitter.com/JoeBiden/status/1301594146390466562
2020-09-03 16:38:00,JoeBiden,,9067,16465,80812,"Right now, classrooms should be humming with excitement for a new year and students’ hopes for their futures. Instead, many are silent and empty because President Trump didn’t do his job. America’s families are paying the price for his failures.",,,,1301560082933530625,https://twitter.com/JoeBiden/status/1301560082933530625
2020-09-03 15:02:00,JoeBiden,,5797,13225,77396,"I've always believed we're at our best when we act as one America. It's time for us to come together, propel our nation across this turbulent threshold, and build a better future for all.",,,,1301535924111761408,https://twitter.com/JoeBiden/status/1301535924111761408
2020-09-03 00:55:00,JoeBiden,,4364,10065,37122,"Time and time again, President Trump has refused to stand up to Putin. His silence on the poisoning of Mr. Navalny is just the latest example. As president, I'll do what Trump won't: hold the Putin regime accountable for its crimes.",,,,1301322769045557250,https://twitter.com/JoeBiden/status/1301322769045557250
2020-09-03 00:30:00,JoeBiden,cnnbrk,19722,55835,267176,"I’ve released 21 years of my tax returns. What are you hiding, @realDonaldTrump?",,@realDonaldTrump,,1301316478889680897,https://twitter.com/JoeBiden/status/1301316478889680897
2020-09-02 23:35:00,JoeBiden,,8192,16864,45612,"They're rooting for chaos and violence because they think it helps them win a second term. Now ask yourself, is that really who you think should be running the country?",,,,1301302636881342466,https://twitter.com/JoeBiden/status/1301302636881342466
2020-09-02 22:25:00,JoeBiden,nytclimate,5178,17706,79283,"If we give Donald Trump another four years in the White House, our planet may never recover.",,,,1301285020448034817,https://twitter.com/JoeBiden/status/1301285020448034817
2020-09-02 21:15:00,JoeBiden,,2665,6850,21469,"We’re just over two months from Election Day. But in many states, you don’t have to wait until November to make your voice heard. Head to http://IWillVote.com and make a plan to vote early today.",,,,1301267404253786114,https://twitter.com/JoeBiden/status/1301267404253786114
2020-09-02 19:15:00,JoeBiden,,14430,41334,284857,"Donald Trump and Betsy DeVos are the worst possible people to lead our nation’s schools through this pandemic.",,,,1301237205617135617,https://twitter.com/JoeBiden/status/1301237205617135617
2020-09-02 18:04:00,JoeBiden,,2491,5140,20228,"We all want students back in the classroom, but President Trump hasn't done the work to make sure schools can reopen safely and effectively. @KamalaHarris and I will be ready on day 1 with a roadmap for reopening.",,@KamalaHarris,,1301219337865433097,https://twitter.com/JoeBiden/status/1301219337865433097
2020-09-02 17:20:37,JoeBiden,,2429,4080,13700,"President Trump has failed to address COVID-19 — and now our students and educators are paying the price. Tune in as I discuss my plan to safely and effectively reopen schools:",,,,1301208423036407808,https://twitter.com/JoeBiden/status/1301208423036407808
2020-09-02 16:04:47,JoeBiden,,813,1441,6343,"This campaign is powered by grassroots supporters like you — and every dollar counts to close the fundraising gap with the Trump campaign. $5, $10, $15, whatever you can, chip in today:",,,,1301189337850277892,https://twitter.com/JoeBiden/status/1301189337850277892
2020-09-02 15:52:00,JoeBiden,,4541,11776,60014,"Last month we raised $364.5 million — 95% of the donations from grassroots supporters like you and the majority online. Working people are powering our campaign — and I’m grateful. We’ve got a long way to go to close the fundraising gap and win — but we can do it. Together.",,,,1301186118621290498,https://twitter.com/JoeBiden/status/1301186118621290498
