date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-03 15:21:41,realDonaldTrump,,17862,22943,105676,"Do you notice that any time Fake News Suppression Polls are put out, like @FoxNews, the Stock Market goes DOWN. We are going to WIN!",,@FoxNews,,1301540878381703168,https://twitter.com/realDonaldTrump/status/1301540878381703168
2020-09-03 14:32:35,realDonaldTrump,,11866,22569,77256,"Based on the massive number of Unsolicited & Solicited Ballots that will be sent to potential Voters for the upcoming 2020 Election, & in order for you to MAKE SURE YOUR VOTE COUNTS & IS COUNTED, SIGN & MAIL IN your Ballot as EARLY as possible. On Election Day, or Early Voting,..",,,,1301528521026744322,https://twitter.com/realDonaldTrump/status/1301528521026744322
2020-09-03 13:46:36,realDonaldTrump,,24501,33985,117488,".@NYGovCuomo should get his puppet New York prosecutors, who have been illegally after me and my family for years, to investigate his incompetent handling of the China Virus, and all of the deaths caused by this incompetence. It is at minimum a Nursing Home Scandal - 11,000 DEAD!",,@NYGovCuomo,,1301516949793505287,https://twitter.com/realDonaldTrump/status/1301516949793505287
2020-09-03 13:35:20,realDonaldTrump,realDonaldTrump,13842,18628,66660,"Sleepy Joe Hiden’ was acknowledged by his own people to have done a terrible job on a much easier situation, H1N1 Swine Flu. The OBiden Administration failed badly on this, & now he sits back in his basement and criticizes every move we make on the China Virus. DOING GREAT JOB!",,,,1301514116222287875,https://twitter.com/realDonaldTrump/status/1301514116222287875
2020-09-03 00:27:21,realDonaldTrump,,32232,47691,192462,"My Administration will do everything in its power to prevent weak mayors and lawless cities from taking Federal dollars while they let anarchists harm people, burn buildings, and ruin lives and businesses. We’re putting them on notice today. @RussVought45",,@RussVought45,,1301315810485579776,https://twitter.com/realDonaldTrump/status/1301315810485579776
2020-09-02 20:18:11,realDonaldTrump,,15144,33146,127226,"Mayor Wheeler just got harassed out of his own home in Portland by so-called “friendly protesters”. The Anarchists, Agitators and Looters treat him HORRIBLY, even though he is so nice and respectful to them. Criminals only understand strength!",,,,1301253108404613121,https://twitter.com/realDonaldTrump/status/1301253108404613121
2020-09-05 20:08:03,realDonaldTrump,CBS4Tim,4154,14002,57618,"Thank you!",,,,1302337719545274368,https://twitter.com/realDonaldTrump/status/1302337719545274368
2020-09-05 03:59:53,realDonaldTrump,MarkSimoneNY,6074,24119,109553,"Thank you Mark!",,,,1302094075403870209,https://twitter.com/realDonaldTrump/status/1302094075403870209
2020-09-05 03:37:19,realDonaldTrump,,12624,13989,55044,"First Lady Melania Trump Hits Back: ‘The Atlantic Story Is Not True‘ https://www.breitbart.com/politics/2020/09/04/first-lady-melania-trump-hits-back-the-atlantic-story-is-not-true/ via @BreitbartNews",,@BreitbartNews,,1302088395074793472,https://twitter.com/realDonaldTrump/status/1302088395074793472
2020-09-05 03:33:25,realDonaldTrump,,3990,9056,27057,"Pollak: The Stunning Synergy of The Atlantic‘s Anonymous Attack on Trump https://www.breitbart.com/politics/2020/09/04/pollak-the-stunning-synergy-of-the-atlantics-anonymous-attack-on-president-donald-trump/ via @BreitbartNews Fake writer Goldberg is considered “the unofficial stenographer of the Obama White House”.",,@BreitbartNews,,1302087414031290368,https://twitter.com/realDonaldTrump/status/1302087414031290368
